kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,33,6272029.375000,,,,80,12076.139784,0.258235
swap,34,24331.380859,,,,80,11889.159926,0.264229
swap,35,250862.460938,,,,80,13129.579910,0.266794
swap,36,5935981.625000,,,,80,12770.419897,0.269552
swap,37,11130040.250000,,,,80,12649.219879,0.261198
swap,38,51916.604492,,,,80,12127.779913,0.270483
swap,39,6894917.875000,,,,80,12932.779866,0.312013
swap,40,157764.328125,,,,80,11967.599930,0.262259
swap,41,33265.678223,,,,80,11954.479921,0.303513
swap,42,40950.196289,,,,80,11369.699886,0.280834
swap,43,523566.398438,,,,80,13490.019827,0.308806
swap,44,10979258.750000,,,,80,12510.959858,0.291073
swap,45,28514.020508,,,,80,11857.179865,0.271196
swap,46,88492.531250,,,,80,12030.499952,0.265776
swap,47,183386.218750,,,,80,10853.239915,0.254298
swap,48,44199.809570,,,,80,11745.379952,0.257941
swap,49,8727930.500000,,,,80,12672.759884,0.305046
swap,50,255357.312500,,,,80,11420.219921,0.278823
swap,51,55427.814453,,,,80,11503.079947,0.268490
swap,52,204170.265625,,,,80,12031.779890,0.264163
swap,53,29053.804688,,,,80,11836.299940,0.282453
swap,54,187336.648438,,,,80,12169.179915,0.280946
swap,55,5096661.125000,,,,80,11866.939894,0.274108
swap,56,210539.492188,,,,80,12242.999930,0.299409
swap,57,8462610.250000,,,,80,12726.479794,0.289351
swap,58,43255.498047,,,,80,11738.359881,0.278968
swap,59,34639.210938,,,,80,11414.339918,0.301725
swap,60,7665366.000000,,,,80,13225.319828,0.287657
swap,1,64009.652344,,,,80,6149.299843,0.288654
swap,2,42525.499023,,,,80,5619.879885,0.308804
swap,3,8989328.000000,,,,80,7931.979814,0.308259
swap,4,12574.742188,,,,80,6175.139833,0.299745
swap,5,23361.061035,,,,80,6328.159822,0.319436
swap,6,389047.734375,,,,80,7310.219805,0.303982
swap,7,30954.924805,,,,80,5639.459764,0.295318
swap,8,9656072.000000,,,,80,7485.799883,0.286915
swap,9,8683887.500000,,,,80,7447.819824,0.312372
swap,10,28746.032715,,,,80,6130.299860,0.319680
swap,11,28194.765625,,,,80,6105.499826,0.314512
swap,12,9059414.000000,,,,80,7327.879883,0.300873
swap,13,116340.308594,,,,80,6103.859850,0.303852
swap,14,134870.449219,,,,80,6511.199816,0.358399
swap,15,27038.036621,,,,80,5887.559832,0.291986
swap,16,21392.070312,,,,80,6023.539843,0.334593
swap,17,23819.268066,,,,80,6311.299814,0.313645
swap,18,157905.871094,,,,80,6665.519836,0.296724
swap,19,8412137.250000,,,,80,6867.059881,0.288271
swap,20,8677783.000000,,,,80,6537.099823,0.303134
swap,21,77176.173828,,,,80,5789.339876,0.295631
swap,22,25587.357422,,,,80,5892.619829,0.291329
