cell_name,cell_type,port,net_bit,net_name,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2422,sky130_fd_sc_hd__or2_2,X,447,$abc$2096$new_n381,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2423,sky130_fd_sc_hd__nand2_2,A,446,$abc$2096$new_n380,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2423,sky130_fd_sc_hd__nand2_2,B,447,$abc$2096$new_n381,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2423,sky130_fd_sc_hd__nand2_2,Y,448,$abc$2096$new_n382,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2424,sky130_fd_sc_hd__clkinv_2,A,448,$abc$2096$new_n382,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2424,sky130_fd_sc_hd__clkinv_2,Y,449,$abc$2096$new_n383,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2425,sky130_fd_sc_hd__nand2_2,A,406,$abc$2096$new_n339,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2425,sky130_fd_sc_hd__nand2_2,B,413,$abc$2096$new_n346,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2425,sky130_fd_sc_hd__nand2_2,Y,450,$abc$2096$new_n384,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2426,sky130_fd_sc_hd__nand2_2,A,449,$abc$2096$new_n383,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2426,sky130_fd_sc_hd__nand2_2,B,450,$abc$2096$new_n384,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2426,sky130_fd_sc_hd__nand2_2,Y,451,$abc$2096$new_n385,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2427,sky130_fd_sc_hd__or2_2,A,449,$abc$2096$new_n383,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2427,sky130_fd_sc_hd__or2_2,B,450,$abc$2096$new_n384,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2427,sky130_fd_sc_hd__or2_2,X,452,$abc$2096$new_n386,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2428,sky130_fd_sc_hd__nand2_2,A,451,$abc$2096$new_n385,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2428,sky130_fd_sc_hd__nand2_2,B,452,$abc$2096$new_n386,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2428,sky130_fd_sc_hd__nand2_2,Y,453,$abc$2096$new_n387,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2429,sky130_fd_sc_hd__or2_2,A,241,$abc$2096$new_n169,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2429,sky130_fd_sc_hd__or2_2,B,453,$abc$2096$new_n387,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2429,sky130_fd_sc_hd__or2_2,X,454,$abc$2096$new_n388,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2430,sky130_fd_sc_hd__nand2_2,A,418,$abc$2096$new_n351,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2430,sky130_fd_sc_hd__nand2_2,B,432,$abc$2096$new_n365,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2430,sky130_fd_sc_hd__nand2_2,Y,455,$abc$2096$new_n389,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2431,sky130_fd_sc_hd__or2_2,A,448,$abc$2096$new_n382,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2431,sky130_fd_sc_hd__or2_2,B,455,$abc$2096$new_n389,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2431,sky130_fd_sc_hd__or2_2,X,456,$abc$2096$new_n390,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2432,sky130_fd_sc_hd__clkinv_2,A,456,$abc$2096$new_n390,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2432,sky130_fd_sc_hd__clkinv_2,Y,457,$abc$2096$new_n391,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2433,sky130_fd_sc_hd__nand2_2,A,448,$abc$2096$new_n382,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2433,sky130_fd_sc_hd__nand2_2,B,455,$abc$2096$new_n389,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2433,sky130_fd_sc_hd__nand2_2,Y,458,$abc$2096$new_n392,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2434,sky130_fd_sc_hd__nand2_2,A,250,$abc$2096$new_n178,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2434,sky130_fd_sc_hd__nand2_2,B,458,$abc$2096$new_n392,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2434,sky130_fd_sc_hd__nand2_2,Y,459,$abc$2096$new_n393,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2435,sky130_fd_sc_hd__or2_2,A,457,$abc$2096$new_n391,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2435,sky130_fd_sc_hd__or2_2,B,459,$abc$2096$new_n393,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2435,sky130_fd_sc_hd__or2_2,X,460,$abc$2096$new_n394,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2436,sky130_fd_sc_hd__clkinv_2,A,460,$abc$2096$new_n394,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2436,sky130_fd_sc_hd__clkinv_2,Y,461,$abc$2096$new_n395,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2437,sky130_fd_sc_hd__nand2_2,A,19,in_15,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2437,sky130_fd_sc_hd__nand2_2,B,11,in_7,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2437,sky130_fd_sc_hd__nand2_2,Y,462,$abc$2096$new_n396,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2438,sky130_fd_sc_hd__clkinv_2,A,462,$abc$2096$new_n396,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2438,sky130_fd_sc_hd__clkinv_2,Y,463,$abc$2096$new_n397,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2439,sky130_fd_sc_hd__or2_2,A,205,$abc$2096$new_n132,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2439,sky130_fd_sc_hd__or2_2,B,462,$abc$2096$new_n396,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2439,sky130_fd_sc_hd__or2_2,X,464,$abc$2096$new_n398,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2440,sky130_fd_sc_hd__nand2_2,A,220,$abc$2096$new_n148,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2440,sky130_fd_sc_hd__nand2_2,B,448,$abc$2096$new_n382,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2440,sky130_fd_sc_hd__nand2_2,Y,465,$abc$2096$new_n399,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2441,sky130_fd_sc_hd__or2_2,A,19,in_15,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2441,sky130_fd_sc_hd__or2_2,B,11,in_7,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2441,sky130_fd_sc_hd__or2_2,X,466,$abc$2096$new_n400,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2442,sky130_fd_sc_hd__nand2_2,A,195,$abc$2096$new_n122,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2442,sky130_fd_sc_hd__nand2_2,B,466,$abc$2096$new_n400,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2442,sky130_fd_sc_hd__nand2_2,Y,467,$abc$2096$new_n401,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2443,sky130_fd_sc_hd__nand2_2,A,464,$abc$2096$new_n398,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2443,sky130_fd_sc_hd__nand2_2,B,467,$abc$2096$new_n401,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2443,sky130_fd_sc_hd__nand2_2,Y,468,$abc$2096$new_n402,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2444,sky130_fd_sc_hd__clkinv_2,A,468,$abc$2096$new_n402,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2444,sky130_fd_sc_hd__clkinv_2,Y,469,$abc$2096$new_n403,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2445,sky130_fd_sc_hd__nand2_2,A,465,$abc$2096$new_n399,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2445,sky130_fd_sc_hd__nand2_2,B,469,$abc$2096$new_n403,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2445,sky130_fd_sc_hd__nand2_2,Y,470,$abc$2096$new_n404,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2446,sky130_fd_sc_hd__nand2_2,A,226,$abc$2096$new_n154,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2446,sky130_fd_sc_hd__nand2_2,B,429,$abc$2096$new_n362,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2446,sky130_fd_sc_hd__nand2_2,Y,471,$abc$2096$new_n405,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2447,sky130_fd_sc_hd__or2_2,A,230,$abc$2096$new_n158,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2447,sky130_fd_sc_hd__or2_2,B,423,$abc$2096$new_n356,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2447,sky130_fd_sc_hd__or2_2,X,472,$abc$2096$new_n406,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2448,sky130_fd_sc_hd__nand2_2,A,424,$abc$2096$new_n357,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2448,sky130_fd_sc_hd__nand2_2,B,471,$abc$2096$new_n405,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2448,sky130_fd_sc_hd__nand2_2,Y,473,$abc$2096$new_n407,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2449,sky130_fd_sc_hd__nand2_2,A,11,in_7,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2449,sky130_fd_sc_hd__nand2_2,B,473,$abc$2096$new_n407,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2449,sky130_fd_sc_hd__nand2_2,Y,474,$abc$2096$new_n408,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2450,sky130_fd_sc_hd__nand2_2,A,430,$abc$2096$new_n363,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2450,sky130_fd_sc_hd__nand2_2,B,472,$abc$2096$new_n406,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2450,sky130_fd_sc_hd__nand2_2,Y,475,$abc$2096$new_n409,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2451,sky130_fd_sc_hd__or2_2,A,210,$abc$2096$new_n138,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2451,sky130_fd_sc_hd__or2_2,B,475,$abc$2096$new_n409,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2451,sky130_fd_sc_hd__or2_2,X,476,$abc$2096$new_n410,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2452,sky130_fd_sc_hd__nand2_2,A,136,$abc$2096$new_n67,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2452,sky130_fd_sc_hd__nand2_2,B,476,$abc$2096$new_n410,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2452,sky130_fd_sc_hd__nand2_2,Y,477,$abc$2096$new_n411,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2453,sky130_fd_sc_hd__nand2_2,A,474,$abc$2096$new_n408,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2453,sky130_fd_sc_hd__nand2_2,B,477,$abc$2096$new_n411,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2453,sky130_fd_sc_hd__nand2_2,Y,478,$abc$2096$new_n412,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2454,sky130_fd_sc_hd__or2_2,A,470,$abc$2096$new_n404,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2454,sky130_fd_sc_hd__or2_2,B,478,$abc$2096$new_n412,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2454,sky130_fd_sc_hd__or2_2,X,479,$abc$2096$new_n413,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2455,sky130_fd_sc_hd__clkinv_2,A,479,$abc$2096$new_n413,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2455,sky130_fd_sc_hd__clkinv_2,Y,480,$abc$2096$new_n414,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2456,sky130_fd_sc_hd__nand2_2,A,454,$abc$2096$new_n388,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2456,sky130_fd_sc_hd__nand2_2,B,480,$abc$2096$new_n414,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2456,sky130_fd_sc_hd__nand2_2,Y,481,$abc$2096$new_n415,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2457,sky130_fd_sc_hd__or2_2,A,461,$abc$2096$new_n395,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2457,sky130_fd_sc_hd__or2_2,B,481,$abc$2096$new_n415,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2457,sky130_fd_sc_hd__or2_2,X,121,out_37,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2458,sky130_fd_sc_hd__or2_2,A,114,out_30,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2458,sky130_fd_sc_hd__or2_2,B,115,out_31,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2458,sky130_fd_sc_hd__or2_2,X,482,$abc$2096$new_n417,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2459,sky130_fd_sc_hd__or2_2,A,116,out_32,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2459,sky130_fd_sc_hd__or2_2,B,482,$abc$2096$new_n417,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2459,sky130_fd_sc_hd__or2_2,X,483,$abc$2096$new_n418,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2460,sky130_fd_sc_hd__or2_2,A,117,out_33,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2460,sky130_fd_sc_hd__or2_2,B,483,$abc$2096$new_n418,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2460,sky130_fd_sc_hd__or2_2,X,484,$abc$2096$new_n419,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2461,sky130_fd_sc_hd__or2_2,A,118,out_34,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2461,sky130_fd_sc_hd__or2_2,B,484,$abc$2096$new_n419,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2461,sky130_fd_sc_hd__or2_2,X,485,$abc$2096$new_n420,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2462,sky130_fd_sc_hd__or2_2,A,119,out_35,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2462,sky130_fd_sc_hd__or2_2,B,485,$abc$2096$new_n420,input
