cell_name,cell_type,port,net_bit,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2175,sky130_fd_sc_hd__nand2_2,A,204,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2175,sky130_fd_sc_hd__nand2_2,B,206,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2175,sky130_fd_sc_hd__nand2_2,Y,207,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2176,sky130_fd_sc_hd__clkinv_2,A,207,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2176,sky130_fd_sc_hd__clkinv_2,Y,208,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2177,sky130_fd_sc_hd__nand2_2,A,202,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2177,sky130_fd_sc_hd__nand2_2,B,208,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2177,sky130_fd_sc_hd__nand2_2,Y,114,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2178,sky130_fd_sc_hd__or2_2,A,128,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2178,sky130_fd_sc_hd__or2_2,B,196,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2178,sky130_fd_sc_hd__or2_2,X,209,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2179,sky130_fd_sc_hd__clkinv_2,A,209,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2179,sky130_fd_sc_hd__clkinv_2,Y,210,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2180,sky130_fd_sc_hd__or2_2,A,5,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2180,sky130_fd_sc_hd__or2_2,B,209,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2180,sky130_fd_sc_hd__or2_2,X,211,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2181,sky130_fd_sc_hd__nand2_2,A,13,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2181,sky130_fd_sc_hd__nand2_2,B,5,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2181,sky130_fd_sc_hd__nand2_2,Y,212,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2182,sky130_fd_sc_hd__or2_2,A,205,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2182,sky130_fd_sc_hd__or2_2,B,212,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2182,sky130_fd_sc_hd__or2_2,X,213,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2183,sky130_fd_sc_hd__nand2_2,A,211,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2183,sky130_fd_sc_hd__nand2_2,B,213,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2183,sky130_fd_sc_hd__nand2_2,Y,214,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2184,sky130_fd_sc_hd__nand2_2,A,129,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2184,sky130_fd_sc_hd__nand2_2,B,5,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2184,sky130_fd_sc_hd__nand2_2,Y,215,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2185,sky130_fd_sc_hd__or2_2,A,129,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2185,sky130_fd_sc_hd__or2_2,B,5,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2185,sky130_fd_sc_hd__or2_2,X,216,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2186,sky130_fd_sc_hd__nand2_2,A,215,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2186,sky130_fd_sc_hd__nand2_2,B,216,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2186,sky130_fd_sc_hd__nand2_2,Y,217,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2187,sky130_fd_sc_hd__nand2_2,A,127,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2187,sky130_fd_sc_hd__nand2_2,B,21,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2187,sky130_fd_sc_hd__nand2_2,Y,218,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2188,sky130_fd_sc_hd__or2_2,A,22,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2188,sky130_fd_sc_hd__or2_2,B,218,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2188,sky130_fd_sc_hd__or2_2,X,219,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2189,sky130_fd_sc_hd__clkinv_2,A,219,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2189,sky130_fd_sc_hd__clkinv_2,Y,220,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2190,sky130_fd_sc_hd__nand2_2,A,217,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2190,sky130_fd_sc_hd__nand2_2,B,220,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2190,sky130_fd_sc_hd__nand2_2,Y,221,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2191,sky130_fd_sc_hd__nand2_2,A,4,input
