cell_name,site_id,x_um,y_um
$abc$9276$auto$blifparse.cc:396:parse_blif$10025,72844,302.04,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10026,147057,391.06,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$10027,110117,434.0,744.28
$abc$9276$auto$blifparse.cc:396:parse_blif$10028,110118,434.46,744.28
$abc$9276$auto$blifparse.cc:396:parse_blif$10029,257,171.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10030,2613,493.96,19.6
$abc$9276$auto$blifparse.cc:396:parse_blif$10031,2021,171.46,16.880000000000003
$abc$9276$auto$blifparse.cc:396:parse_blif$10032,354,226.36,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10033,473,276.2,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10034,395,238.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10035,402,252.66,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10036,403,254.96,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10037,353,224.06,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10038,248,153.06,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10039,247,150.76,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10040,249,155.36,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10041,250,157.2,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10042,72999,402.56,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10043,147155,448.26,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$10044,110139,455.16,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10045,110140,457.46,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10046,548,336.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10047,596,362.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10048,2896,672.0,16.880000000000003
$abc$9276$auto$blifparse.cc:396:parse_blif$10049,2543,443.66,25.04
$abc$9276$auto$blifparse.cc:396:parse_blif$10050,742,447.8,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10051,739,441.36,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10052,849,493.96,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10053,645,391.06,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10054,638,377.26,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10055,549,338.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10056,401,250.36,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10057,441,262.4,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10058,404,257.26,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10059,405,259.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10060,145524,498.56,987.32
$abc$9276$auto$blifparse.cc:396:parse_blif$10061,72850,312.16,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10062,110174,476.86,744.28
$abc$9276$auto$blifparse.cc:396:parse_blif$10063,110173,476.4,744.28
$abc$9276$auto$blifparse.cc:396:parse_blif$10064,2402,377.26,16.880000000000003
$abc$9276$auto$blifparse.cc:396:parse_blif$10065,949,555.3,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10066,936,557.6,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10067,948,553.46,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10068,935,555.76,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10069,934,553.46,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10070,933,551.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10071,932,548.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10072,837,498.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10073,639,379.56,5.0
